time,x,y,z,target_x,target_y,target_z,error
0.0,0.0,0.0,0.077,,,,
0.017,0.0,0.0,0.1,,,,
0.033,0.0,0.0,0.1223,,,,
0.05,0.0,0.0,0.1445,,,,
0.067,0.0,0.0,0.1668,,,,
0.083,0.0,0.0,0.1891,,,,
0.1,0.0,0.0,0.2114,,,,
0.117,0.0,0.0,0.2337,,,,
0.133,0.0,0.0,0.2559,,,,
0.15,0.0,0.0,0.2782,,,,
0.167,0.0,0.0,0.3005,,,,
0.183,0.0,0.0,0.3228,,,,
0.2,0.0,0.0,0.345,,,,
0.217,0.0,0.0,0.3673,,,,
0.233,0.0,0.0,0.3896,,,,
0.25,0.0,0.0,0.4119,,,,
0.267,0.0,0.0,0.4342,,,,
0.283,0.0,0.0,0.4564,,,,
0.3,0.0,0.0,0.4787,,,,
0.317,0.0,0.0,0.501,,,,
0.333,0.0,0.0,0.5233,,,,
0.35,0.0,0.0,0.5455,,,,
0.367,0.0,0.0,0.5678,,,,
0.383,0.0,0.0,0.5901,,,,
0.4,0.0,0.0,0.6124,,,,
0.417,0.0,0.0,0.6347,,,,
0.433,0.0,0.0,0.6569,,,,
0.45,0.0,0.0,0.6792,,,,
0.467,0.0,0.0,0.7015,,,,
0.483,0.0,0.0,0.7238,,,,
0.5,0.0,0.0,0.746,,,,
0.517,0.0,0.0,0.7683,,,,
0.533,0.0,0.0,0.7906,,,,
0.55,0.0,0.0,0.8129,,,,
0.567,0.0,0.0,0.8352,,,,
0.583,0.0,0.0,0.8574,,,,
0.6,0.0,0.0,0.8797,,,,
0.617,0.0,0.0,0.902,,,,
0.633,0.0,0.0,0.9243,,,,
0.65,0.0,0.0,0.9465,,,,
0.667,0.0,0.0,0.9688,,,,
0.683,0.0,0.0,0.9911,,,,
0.7,0.0,0.0,1.0134,,,,
0.717,0.0,0.0,1.0357,,,,
0.733,0.0,0.0,1.0579,,,,
0.75,0.0,0.0,1.0802,,,,
0.767,0.0,0.0,1.1025,,,,
0.783,0.0,0.0,1.1248,,,,
0.8,0.0,0.0,1.147,,,,
0.817,0.0,0.0,1.1693,,,,
0.833,0.0,0.0,1.1916,,,,
0.85,0.0,0.0,1.2139,,,,
0.867,0.0,0.0,1.2362,,,,
0.883,0.0,0.0,1.2584,,,,
0.9,0.0,0.0,1.2807,,,,
0.917,0.0,0.0,1.303,,,,
0.933,0.0,0.0,1.3253,,,,
0.95,0.0,0.0,1.3475,,,,
0.967,0.0,0.0,1.3698,,,,
0.983,0.0,0.0,1.3921,,,,
1.0,0.0,0.0,1.4144,,,,
1.017,0.0,0.0,1.4367,,,,
1.033,0.0,0.0,1.4339,,,,
1.05,0.0,0.0,1.4339,,,,
1.067,0.0,0.0,1.4339,,,,
1.083,0.0,0.0,1.4339,,,,
1.1,0.0,0.0,1.4339,,,,
1.117,0.0,0.0,1.4339,,,,
1.133,0.0,0.0,1.4339,,,,
1.15,0.0,0.0,1.4339,,,,
1.167,0.0,0.0,1.4339,,,,
1.183,0.0,0.0,1.4339,,,,
1.2,0.0,0.0,1.4339,,,,
1.217,0.0,0.0,1.4339,,,,
1.233,0.0,0.0,1.4339,,,,
1.25,0.0,0.0,1.4339,,,,
1.267,0.0,0.0,1.4339,,,,
1.283,0.0,0.0,1.4339,,,,
1.3,0.0,0.0,1.4339,,,,
1.317,0.0,0.0,1.4339,,,,
1.333,0.0,0.0,1.4339,,,,
1.35,0.0,0.0,1.4339,,,,
1.367,0.0,0.0,1.4339,,,,
1.383,0.0,0.0,1.4339,,,,
1.4,0.0,0.0,1.4339,,,,
1.417,0.0,0.0,1.4339,,,,
1.433,0.0,0.0,1.4339,,,,
1.45,0.0,0.0,1.4339,,,,
1.467,0.0,0.0,1.4339,,,,
1.483,0.0,0.0,1.4339,,,,
1.5,0.0,0.0,1.4339,,,,
1.517,0.0,0.0,1.4339,,,,
1.533,0.0,0.0,1.4339,,,,
1.55,0.0,0.0,1.4339,,,,
1.567,0.0,0.0,1.4339,,,,
1.583,0.0,0.0,1.4339,,,,
1.6,0.0,0.0,1.4339,,,,
1.617,0.0,0.0,1.4339,,,,
1.633,0.0,0.0,1.4339,,,,
1.65,0.0,0.0,1.4339,,,,
1.667,0.0,0.0,1.4339,,,,
1.683,0.0,0.0,1.4339,,,,
1.7,0.0,0.0,1.4339,,,,
1.717,0.0,0.0,1.4339,,,,
1.733,0.0,0.0,1.4339,,,,
1.75,0.0,0.0,1.4339,,,,
1.767,0.0,0.0,1.4339,,,,
1.783,0.0,0.0,1.4339,,,,
1.8,0.0,0.0,1.4339,,,,
1.817,0.0,0.0,1.4339,,,,
1.833,0.0,0.0,1.4339,,,,
1.85,0.0,0.0,1.4339,,,,
1.867,0.0,0.0,1.4339,,,,
1.883,0.0,0.0,1.4339,,,,
1.9,0.0,0.0,1.4339,,,,
1.917,0.0,0.0,1.4339,,,,
1.933,0.0,0.0,1.4339,,,,
1.95,0.0,0.0,1.4339,,,,
1.967,0.0,0.0,1.4339,,,,
1.983,0.0,0.0,1.4339,,,,
2.0,0.0,0.0,1.4339,,,,
2.017,0.0,0.0,1.4339,,,,
2.033,0.0,0.0,1.4062,,,,
2.05,0.0,0.0,1.3785,,,,
2.067,0.0,0.0,1.3508,,,,
2.083,0.0,0.0,1.323,,,,
2.1,0.0,0.0,1.2953,,,,
2.117,0.0,0.0,1.2676,,,,
2.133,0.0,0.0,1.2399,,,,
2.15,0.0,0.0,1.2122,,,,
2.167,0.0,0.0,1.1844,,,,
2.183,0.0,0.0,1.1567,,,,
2.2,0.0,0.0,1.129,,,,
2.217,0.0,0.0,1.1013,,,,
2.233,0.0,0.0,1.0735,,,,
2.25,0.0,0.0,1.0458,,,,
2.267,0.0,0.0,1.0181,,,,
2.283,0.0,0.0,0.9904,,,,
2.3,0.0,0.0,0.9627,,,,
2.317,0.0,0.0,0.9349,,,,
2.333,0.0,0.0,0.9072,,,,
2.35,0.0,0.0,0.8795,,,,
2.367,0.0,0.0,0.8518,,,,
2.383,0.0,0.0,0.824,,,,
2.4,0.0,0.0,0.7963,,,,
2.417,0.0,0.0,0.7686,,,,
2.433,0.0,0.0,0.7409,,,,
2.45,0.0,0.0,0.7132,,,,
2.467,0.0,0.0,0.6854,,,,
2.483,0.0,0.0,0.6577,,,,
2.5,0.0,0.0,0.63,,,,
2.517,0.0,0.0,0.6023,,,,
2.533,0.0,0.0,0.5745,,,,
2.55,0.0,0.0,0.5468,,,,
2.567,0.0,0.0,0.5191,,,,
2.583,0.0,0.0,0.4914,,,,
2.6,0.0,0.0,0.4637,,,,
2.617,0.0,0.0,0.4359,,,,
2.633,0.0,0.0,0.4082,,,,
2.65,0.0,0.0,0.3805,,,,
2.667,0.0,0.0,0.3528,,,,
2.683,0.0,0.0,0.325,,,,
2.7,0.0,0.0,0.2973,,,,
2.717,0.0,0.0,0.2696,,,,
2.733,0.0,0.0,0.2419,,,,
2.75,0.0,0.0,0.2142,,,,
2.767,0.0,0.0,0.1864,,,,
2.783,0.0,0.0,0.1587,,,,
2.8,0.0,0.0,0.131,,,,
2.817,0.0,0.0,0.1033,,,,
